Training Epoch: 1 [32384/45388]	Loss: 2.1984	LR: 0.003563
Training Epoch: 1 [32512/45388]	Loss: 2.1250	LR: 0.003577
Training Epoch: 1 [32640/45388]	Loss: 2.1480	LR: 0.003592
Training Epoch: 1 [32768/45388]	Loss: 2.1969	LR: 0.003606
Training Epoch: 1 [32896/45388]	Loss: 2.1303	LR: 0.003620
Training Epoch: 1 [33024/45388]	Loss: 2.2066	LR: 0.003634
Training Epoch: 1 [33152/45388]	Loss: 2.1497	LR: 0.003648
Training Epoch: 1 [33280/45388]	Loss: 2.0742	LR: 0.003662
Training Epoch: 1 [33408/45388]	Loss: 2.0679	LR: 0.003676
Training Epoch: 1 [33536/45388]	Loss: 2.0209	LR: 0.003690
Training Epoch: 1 [33664/45388]	Loss: 1.8602	LR: 0.003704
Training Epoch: 1 [33792/45388]	Loss: 1.9495	LR: 0.003718
Training Epoch: 1 [33920/45388]	Loss: 2.1051	LR: 0.003732
Training Epoch: 1 [34048/45388]	Loss: 2.0683	LR: 0.003746
Training Epoch: 1 [34176/45388]	Loss: 2.1658	LR: 0.003761
Training Epoch: 1 [34304/45388]	Loss: 2.0249	LR: 0.003775
Training Epoch: 1 [34432/45388]	Loss: 1.9521	LR: 0.003789
Training Epoch: 1 [34560/45388]	Loss: 1.8987	LR: 0.003803
Training Epoch: 1 [34688/45388]	Loss: 2.0336	LR: 0.003817
Training Epoch: 1 [34816/45388]	Loss: 1.8736	LR: 0.003831
Training Epoch: 1 [34944/45388]	Loss: 2.0510	LR: 0.003845
Training Epoch: 1 [35072/45388]	Loss: 2.0453	LR: 0.003859
Training Epoch: 1 [35200/45388]	Loss: 1.7591	LR: 0.003873
Training Epoch: 1 [35328/45388]	Loss: 2.0572	LR: 0.003887
Training Epoch: 1 [35456/45388]	Loss: 1.9252	LR: 0.003901
Training Epoch: 1 [35584/45388]	Loss: 1.9345	LR: 0.003915
Training Epoch: 1 [35712/45388]	Loss: 1.8003	LR: 0.003930
Training Epoch: 1 [35840/45388]	Loss: 1.8802	LR: 0.003944
Training Epoch: 1 [35968/45388]	Loss: 1.7861	LR: 0.003958
Training Epoch: 1 [36096/45388]	Loss: 2.0031	LR: 0.003972
Training Epoch: 1 [36224/45388]	Loss: 1.8972	LR: 0.003986
Training Epoch: 1 [36352/45388]	Loss: 1.8168	LR: 0.004000
Training Epoch: 1 [36480/45388]	Loss: 1.7610	LR: 0.004014
Training Epoch: 1 [36608/45388]	Loss: 1.8324	LR: 0.004028
Training Epoch: 1 [36736/45388]	Loss: 1.8380	LR: 0.004042
Training Epoch: 1 [36864/45388]	Loss: 1.8248	LR: 0.004056
Training Epoch: 1 [36992/45388]	Loss: 1.5814	LR: 0.004070
Training Epoch: 1 [37120/45388]	Loss: 1.8080	LR: 0.004085
Training Epoch: 1 [37248/45388]	Loss: 1.7391	LR: 0.004099
Training Epoch: 1 [37376/45388]	Loss: 1.6998	LR: 0.004113
Training Epoch: 1 [37504/45388]	Loss: 1.8233	LR: 0.004127
Training Epoch: 1 [37632/45388]	Loss: 1.6554	LR: 0.004141
