Training Epoch: 1 [32512/45388]	Loss: 2.7163	LR: 0.003577
Training Epoch: 1 [32640/45388]	Loss: 2.7308	LR: 0.003592
Training Epoch: 1 [32768/45388]	Loss: 2.6662	LR: 0.003606
Training Epoch: 1 [32896/45388]	Loss: 2.7299	LR: 0.003620
Training Epoch: 1 [33024/45388]	Loss: 2.6600	LR: 0.003634
Training Epoch: 1 [33152/45388]	Loss: 2.7644	LR: 0.003648
Training Epoch: 1 [33280/45388]	Loss: 2.7351	LR: 0.003662
Training Epoch: 1 [33408/45388]	Loss: 2.7379	LR: 0.003676
Training Epoch: 1 [33536/45388]	Loss: 2.7031	LR: 0.003690
Training Epoch: 1 [33664/45388]	Loss: 2.8076	LR: 0.003704
Training Epoch: 1 [33792/45388]	Loss: 2.7604	LR: 0.003718
Training Epoch: 1 [33920/45388]	Loss: 2.6897	LR: 0.003732
Training Epoch: 1 [34048/45388]	Loss: 2.6987	LR: 0.003746
Training Epoch: 1 [34176/45388]	Loss: 2.7296	LR: 0.003761
Training Epoch: 1 [34304/45388]	Loss: 2.7050	LR: 0.003775
Training Epoch: 1 [34432/45388]	Loss: 2.7033	LR: 0.003789
Training Epoch: 1 [34560/45388]	Loss: 2.7042	LR: 0.003803
Training Epoch: 1 [34688/45388]	Loss: 2.6265	LR: 0.003817
Training Epoch: 1 [34816/45388]	Loss: 2.7238	LR: 0.003831
Training Epoch: 1 [34944/45388]	Loss: 2.7562	LR: 0.003845
Training Epoch: 1 [35072/45388]	Loss: 2.6145	LR: 0.003859
Training Epoch: 1 [35200/45388]	Loss: 2.5641	LR: 0.003873
Training Epoch: 1 [35328/45388]	Loss: 2.6472	LR: 0.003887
Training Epoch: 1 [35456/45388]	Loss: 2.6590	LR: 0.003901
Training Epoch: 1 [35584/45388]	Loss: 2.6495	LR: 0.003915
Training Epoch: 1 [35712/45388]	Loss: 2.5567	LR: 0.003930
Training Epoch: 1 [35840/45388]	Loss: 2.6674	LR: 0.003944
Training Epoch: 1 [35968/45388]	Loss: 2.5693	LR: 0.003958
Training Epoch: 1 [36096/45388]	Loss: 2.6481	LR: 0.003972
Training Epoch: 1 [36224/45388]	Loss: 2.5639	LR: 0.003986
Training Epoch: 1 [36352/45388]	Loss: 2.6140	LR: 0.004000
Training Epoch: 1 [36480/45388]	Loss: 2.5265	LR: 0.004014
Training Epoch: 1 [36608/45388]	Loss: 2.6111	LR: 0.004028
Training Epoch: 1 [36736/45388]	Loss: 2.5626	LR: 0.004042
Training Epoch: 1 [36864/45388]	Loss: 2.5694	LR: 0.004056
Training Epoch: 1 [36992/45388]	Loss: 2.6189	LR: 0.004070
Training Epoch: 1 [37120/45388]	Loss: 2.4902	LR: 0.004085
Training Epoch: 1 [37248/45388]	Loss: 2.5578	LR: 0.004099
Training Epoch: 1 [37376/45388]	Loss: 2.4670	LR: 0.004113
Training Epoch: 1 [37504/45388]	Loss: 2.4640	LR: 0.004127
Training Epoch: 1 [37632/45388]	Loss: 2.4949	LR: 0.004141
Training Epoch: 1 [37760/45388]	Loss: 2.5769	LR: 0.004155
Training Epoch: 1 [37888/45388]	Loss: 2.5005	LR: 0.004169
Training Epoch: 1 [38016/45388]	Loss: 2.4634	LR: 0.004183
Training Epoch: 1 [38144/45388]	Loss: 2.4483	LR: 0.004197
Training Epoch: 1 [38272/45388]	Loss: 2.4722	LR: 0.004211
Training Epoch: 1 [38400/45388]	Loss: 2.4771	LR: 0.004225
Training Epoch: 1 [38528/45388]	Loss: 2.4872	LR: 0.004239
Training Epoch: 1 [38656/45388]	Loss: 2.5586	LR: 0.004254
Training Epoch: 1 [38784/45388]	Loss: 2.4212	LR: 0.004268
Training Epoch: 1 [38912/45388]	Loss: 2.5459	LR: 0.004282
Training Epoch: 1 [39040/45388]	Loss: 2.5392	LR: 0.004296
Training Epoch: 1 [39168/45388]	Loss: 2.3991	LR: 0.004310
Training Epoch: 1 [39296/45388]	Loss: 2.3764	LR: 0.004324
Training Epoch: 1 [39424/45388]	Loss: 2.4134	LR: 0.004338
Training Epoch: 1 [39552/45388]	Loss: 2.4120	LR: 0.004352
Training Epoch: 1 [39680/45388]	Loss: 2.4154	LR: 0.004366
Training Epoch: 1 [39808/45388]	Loss: 2.4753	LR: 0.004380
Training Epoch: 1 [39936/45388]	Loss: 2.2563	LR: 0.004394
Training Epoch: 1 [40064/45388]	Loss: 2.4394	LR: 0.004408
Training Epoch: 1 [40192/45388]	Loss: 2.5211	LR: 0.004423
Training Epoch: 1 [40320/45388]	Loss: 2.4789	LR: 0.004437
Training Epoch: 1 [40448/45388]	Loss: 2.3609	LR: 0.004451
Training Epoch: 1 [40576/45388]	Loss: 2.3368	LR: 0.004465
Training Epoch: 1 [40704/45388]	Loss: 2.3878	LR: 0.004479
Training Epoch: 1 [40832/45388]	Loss: 2.3310	LR: 0.004493
Training Epoch: 1 [40960/45388]	Loss: 2.4046	LR: 0.004507
Training Epoch: 1 [41088/45388]	Loss: 2.3012	LR: 0.004521
Training Epoch: 1 [41216/45388]	Loss: 2.3207	LR: 0.004535
Training Epoch: 1 [41344/45388]	Loss: 2.3608	LR: 0.004549
Training Epoch: 1 [41472/45388]	Loss: 2.2530	LR: 0.004563
Training Epoch: 1 [41600/45388]	Loss: 2.3517	LR: 0.004577
Training Epoch: 1 [41728/45388]	Loss: 2.1566	LR: 0.004592
Training Epoch: 1 [41856/45388]	Loss: 2.2332	LR: 0.004606
Training Epoch: 1 [41984/45388]	Loss: 2.1542	LR: 0.004620
Training Epoch: 1 [42112/45388]	Loss: 2.2383	LR: 0.004634
Training Epoch: 1 [42240/45388]	Loss: 2.2584	LR: 0.004648
Training Epoch: 1 [42368/45388]	Loss: 2.3420	LR: 0.004662
Training Epoch: 1 [42496/45388]	Loss: 2.3345	LR: 0.004676
Training Epoch: 1 [42624/45388]	Loss: 2.0864	LR: 0.004690
Training Epoch: 1 [42752/45388]	Loss: 2.3120	LR: 0.004704
Training Epoch: 1 [42880/45388]	Loss: 2.1889	LR: 0.004718
Training Epoch: 1 [43008/45388]	Loss: 2.3239	LR: 0.004732
Training Epoch: 1 [43136/45388]	Loss: 2.1929	LR: 0.004746
Training Epoch: 1 [43264/45388]	Loss: 2.1447	LR: 0.004761
Training Epoch: 1 [43392/45388]	Loss: 2.1644	LR: 0.004775
Training Epoch: 1 [43520/45388]	Loss: 2.2369	LR: 0.004789
Training Epoch: 1 [43648/45388]	Loss: 2.2400	LR: 0.004803
Training Epoch: 1 [43776/45388]	Loss: 2.1272	LR: 0.004817
Training Epoch: 1 [43904/45388]	Loss: 2.1966	LR: 0.004831
Training Epoch: 1 [44032/45388]	Loss: 2.1753	LR: 0.004845
Training Epoch: 1 [44160/45388]	Loss: 2.1501	LR: 0.004859
Training Epoch: 1 [44288/45388]	Loss: 2.0907	LR: 0.004873
Training Epoch: 1 [44416/45388]	Loss: 2.0387	LR: 0.004887
Training Epoch: 1 [44544/45388]	Loss: 2.0608	LR: 0.004901
Training Epoch: 1 [44672/45388]	Loss: 2.0440	LR: 0.004915
Training Epoch: 1 [44800/45388]	Loss: 2.1177	LR: 0.004930
Training Epoch: 1 [44928/45388]	Loss: 2.0892	LR: 0.004944
Training Epoch: 1 [45056/45388]	Loss: 2.2662	LR: 0.004958
Training Epoch: 1 [45184/45388]	Loss: 2.1321	LR: 0.004972
Training Epoch: 1 [45312/45388]	Loss: 1.9727	LR: 0.004986
Training Epoch: 1 [45388/45388]	Loss: 2.0197	LR: 0.005000
epoch 1 training time consumed: 110.81s
GPU INFO.....
|===========================================================================|
|                  PyTorch CUDA memory summary, device ID 0                 |
|---------------------------------------------------------------------------|
|            CUDA OOMs: 0            |        cudaMalloc retries: 0         |
|===========================================================================|
|        Metric         | Cur Usage  | Peak Usage | Tot Alloc  | Tot Freed  |
|---------------------------------------------------------------------------|
| Allocated memory      | 100571 KiB |   2040 MiB |   1656 GiB |   1656 GiB |
|       from large pool |  88232 KiB |   2031 MiB |   1647 GiB |   1647 GiB |
|       from small pool |  12339 KiB |     17 MiB |      8 GiB |      8 GiB |
|---------------------------------------------------------------------------|
| Active memory         | 100571 KiB |   2040 MiB |   1656 GiB |   1656 GiB |
|       from large pool |  88232 KiB |   2031 MiB |   1647 GiB |   1647 GiB |
|       from small pool |  12339 KiB |     17 MiB |      8 GiB |      8 GiB |
|---------------------------------------------------------------------------|
| Requested memory      | 100455 KiB |   2031 MiB |   1647 GiB |   1647 GiB |
|       from large pool |  88232 KiB |   2018 MiB |   1639 GiB |   1639 GiB |
